age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
57,retired,married,secondary,no,168,no,no,7,aug,342,1,-1,0,yes
58,management,single,tertiary,no,342,no,yes,11,jul,564,2,-1,0,no
37,services,married,secondary,no,1543,yes,no,16,feb,138,2,-1,0,yes
38,blue-collar,divorced,secondary,no,157,no,no,9,jun,299,5,-1,0,no
47,blue-collar,married,secondary,no,1484,no,no,21,jul,274,3,-1,0,no
30,blue-collar,single,primary,no,334,no,no,12,aug,188,1,-1,0,no
50,blue-collar,married,secondary,no,37,yes,yes,31,jul,28,2,-1,0,no
69,retired,divorced,secondary,no,4572,no,no,27,oct,146,2,56,1,yes
46,self-employed,married,primary,no,3262,no,no,14,aug,77,8,-1,0,no
38,services,married,secondary,no,-314,yes,no,28,may,66,2,-1,0,no
33,student,single,tertiary,no,882,yes,no,6,feb,311,1,-1,0,no
36,management,single,tertiary,no,1496,yes,no,18,may,40,1,269,4,no
30,admin.,married,secondary,no,518,yes,no,8,may,127,1,-1,0,no
34,services,married,secondary,no,-102,yes,no,18,jul,185,1,-1,0,no
49,housemaid,married,primary,no,434,yes,yes,18,jun,272,3,-1,0,no
21,student,single,secondary,no,546,no,no,17,apr,94,1,-1,0,no
29,blue-collar,single,secondary,no,2,yes,yes,21,apr,379,5,-1,0,yes
36,admin.,single,secondary,no,0,yes,yes,28,may,117,6,-1,0,no
49,technician,married,secondary,no,-205,yes,yes,14,may,6,6,309,1,no
36,unemployed,single,tertiary,no,9019,yes,no,11,jun,952,3,-1,0,no
36,management,married,tertiary,no,-547,yes,no,30,apr,267,1,259,2,no
48,admin.,single,secondary,no,-58,no,no,17,jun,123,1,-1,0,no
51,blue-collar,married,unknown,no,1883,yes,no,5,may,57,1,-1,0,no
36,management,divorced,tertiary,no,668,yes,no,5,may,623,1,-1,0,no
40,services,married,secondary,no,9374,yes,no,21,nov,7,8,185,1,no
50,management,divorced,tertiary,no,100,yes,yes,13,may,157,1,299,3,no
40,admin.,married,secondary,no,149,yes,no,11,jul,159,1,-1,0,no
35,technician,single,secondary,no,7530,no,no,18,nov,117,1,-1,0,no
26,blue-collar,single,secondary,no,5005,no,yes,3,apr,117,1,-1,0,yes
53,management,divorced,tertiary,no,0,no,no,9,may,44,2,-1,0,no
28,admin.,single,tertiary,no,313,no,yes,23,sep,124,1,59,6,no
38,student,single,tertiary,no,1523,yes,no,5,jun,17,16,-1,0,no
37,entrepreneur,married,tertiary,no,836,yes,no,20,nov,223,1,177,2,no
56,services,married,secondary,no,1989,no,no,3,aug,279,4,181,4,yes
28,services,divorced,secondary,no,89,no,no,6,may,174,2,-1,0,no
55,technician,married,secondary,no,264,yes,yes,31,jul,1150,5,-1,0,yes
48,management,married,tertiary,no,0,yes,no,10,jul,108,1,-1,0,no
42,services,married,unknown,no,-416,no,yes,29,jul,147,5,-1,0,no
28,services,single,secondary,no,6332,yes,no,29,may,76,4,-1,0,no
46,services,married,secondary,no,417,yes,no,30,jan,219,1,2,1,no
27,management,married,tertiary,no,802,no,no,22,sep,569,1,-1,0,yes
32,admin.,single,secondary,no,1411,no,no,2,jul,124,1,-1,0,no
73,retired,married,primary,no,934,no,no,14,sep,961,5,-1,0,yes
50,services,married,secondary,no,992,yes,no,30,may,407,1,-1,0,no
35,services,married,secondary,no,457,yes,no,17,apr,69,1,322,2,no
37,management,married,tertiary,no,5016,no,no,8,aug,119,1,-1,0,no
33,blue-collar,married,secondary,no,523,yes,no,18,may,18,5,360,5,no
47,blue-collar,divorced,secondary,no,3823,yes,yes,17,apr,647,2,-1,0,no
47,management,married,tertiary,no,1425,no,no,29,jan,113,1,-1,0,no
44,services,married,secondary,no,4786,yes,yes,12,may,267,1,-1,0,no
25,blue-collar,single,primary,no,17,yes,no,13,may,97,2,-1,0,no
47,blue-collar,married,secondary,no,292,no,no,10,feb,277,1,-1,0,yes
35,technician,single,tertiary,no,973,no,no,26,aug,109,9,-1,0,no
26,entrepreneur,married,secondary,no,321,yes,yes,23,jul,638,2,-1,0,no
34,blue-collar,married,primary,no,151,yes,no,17,jul,546,6,-1,0,no
40,self-employed,married,tertiary,no,642,no,no,18,nov,147,3,-1,0,no
46,blue-collar,married,tertiary,no,993,yes,no,16,jun,78,1,-1,0,no
50,blue-collar,married,primary,no,8000,yes,no,20,aug,221,10,-1,0,no
43,technician,married,secondary,no,50,no,no,28,may,63,1,-1,0,no
32,admin.,single,secondary,no,197,no,no,28,jan,205,3,-1,0,no
43,admin.,single,unknown,no,87,yes,no,7,may,328,2,-1,0,no
41,services,divorced,secondary,no,5745,yes,yes,15,may,69,3,357,1,no
46,management,married,tertiary,no,964,yes,no,8,apr,174,1,-1,0,no
36,housemaid,married,primary,no,531,no,no,28,apr,151,3,-1,0,no
61,self-employed,divorced,tertiary,no,6,yes,no,13,oct,210,1,182,2,yes
48,services,divorced,primary,no,-110,no,yes,19,jun,164,2,-1,0,no
36,services,married,secondary,no,183,yes,no,20,may,103,3,-1,0,no
43,technician,single,tertiary,no,1154,no,no,15,jul,603,11,-1,0,no
29,blue-collar,married,secondary,no,9,yes,no,6,may,349,1,-1,0,no
39,technician,married,secondary,no,0,no,no,20,aug,327,3,-1,0,no
50,entrepreneur,married,secondary,no,806,yes,yes,7,may,141,8,297,2,no
31,blue-collar,single,primary,no,2488,yes,no,20,apr,14,1,-1,0,no
39,management,single,tertiary,no,11971,yes,no,15,may,75,10,179,5,no
30,services,single,tertiary,no,21,no,no,5,oct,4,1,-1,0,no
43,management,divorced,tertiary,no,388,yes,no,8,may,2087,2,-1,0,yes
38,unemployed,married,primary,no,890,yes,no,5,feb,43,2,-1,0,no
30,unemployed,single,tertiary,no,463,no,no,22,aug,374,4,-1,0,no
51,self-employed,divorced,secondary,no,7848,no,no,18,nov,59,1,-1,0,no
58,retired,married,tertiary,no,0,no,no,6,may,393,1,-1,0,no
44,technician,divorced,secondary,no,106,yes,no,17,nov,17,1,175,1,no
33,management,married,tertiary,no,901,no,no,11,aug,76,2,-1,0,no
49,blue-collar,married,secondary,no,1946,no,no,16,jul,486,1,-1,0,yes
36,blue-collar,married,secondary,no,740,yes,no,30,may,171,2,-1,0,no
26,self-employed,single,tertiary,no,993,no,no,8,oct,152,1,-1,0,no
41,admin.,married,tertiary,no,5426,yes,no,14,may,149,2,-1,0,no
53,blue-collar,married,primary,no,1942,yes,no,2,jun,185,2,-1,0,no
28,blue-collar,single,primary,no,54,yes,no,14,may,533,1,371,1,yes
54,technician,divorced,secondary,no,0,yes,no,28,jan,87,2,-1,0,no
55,blue-collar,married,secondary,no,-256,yes,yes,9,may,136,2,-1,0,no
33,admin.,married,secondary,no,0,yes,no,17,nov,78,1,-1,0,no
35,blue-collar,divorced,unknown,no,164,no,no,11,jun,967,2,-1,0,yes
37,blue-collar,married,secondary,no,-59,yes,yes,24,jul,56,1,-1,0,no
34,blue-collar,married,secondary,no,-76,yes,no,27,may,170,1,-1,0,no
35,technician,single,secondary,no,-51,no,no,2,jul,134,2,-1,0,no
42,management,single,secondary,no,9720,no,no,5,aug,81,2,-1,0,no
43,blue-collar,married,secondary,no,833,no,no,17,jul,156,1,-1,0,no
31,services,married,secondary,no,505,no,no,11,jul,773,3,-1,0,no
31,services,married,secondary,no,520,yes,no,12,may,123,7,-1,0,no
35,admin.,married,secondary,no,34,yes,no,13,may,249,2,365,3,no
25,technician,single,tertiary,no,148,no,no,23,jul,421,1,-1,0,no
39,admin.,divorced,secondary,no,284,yes,yes,16,apr,772,1,-1,0,no
23,technician,single,secondary,no,632,yes,no,5,may,248,1,-1,0,no
34,technician,divorced,tertiary,no,674,yes,no,7,aug,587,2,-1,0,yes
33,admin.,married,tertiary,no,88,yes,yes,18,nov,86,1,-1,0,no
41,management,divorced,tertiary,no,0,no,no,3,feb,475,3,-1,0,no
30,technician,single,tertiary,yes,23,no,no,12,aug,72,4,-1,0,no
54,blue-collar,married,primary,no,950,yes,no,15,may,285,2,-1,0,no
57,management,married,secondary,no,39,yes,no,15,may,114,2,-1,0,no
43,retired,married,primary,no,471,no,yes,15,may,114,2,-1,0,no
31,management,married,tertiary,no,10884,no,no,10,aug,294,3,98,2,yes
33,technician,married,unknown,no,1450,no,no,27,apr,81,1,-1,0,no
28,blue-collar,married,secondary,no,2378,yes,yes,18,jul,800,6,-1,0,no
31,management,single,tertiary,no,24870,yes,no,21,may,634,2,-1,0,no
46,self-employed,married,secondary,no,390,yes,no,31,jul,208,2,-1,0,no
27,technician,single,secondary,no,3,no,no,3,jun,68,6,-1,0,no
31,technician,single,secondary,no,-2,no,no,29,aug,131,2,-1,0,no
33,entrepreneur,married,tertiary,no,775,yes,yes,30,jul,60,3,-1,0,no
54,blue-collar,married,secondary,no,983,no,no,25,aug,54,6,-1,0,no
40,technician,divorced,secondary,no,275,no,no,13,aug,409,4,-1,0,no
46,services,divorced,secondary,no,15,no,no,19,nov,314,3,-1,0,no
60,management,married,tertiary,no,474,no,no,31,aug,415,5,186,3,yes
66,retired,married,primary,no,388,no,no,17,sep,152,2,-1,0,no
35,technician,married,tertiary,no,0,yes,yes,23,sep,112,1,62,6,no
37,housemaid,married,secondary,no,1863,no,no,6,aug,163,2,-1,0,no
46,blue-collar,married,primary,no,642,no,no,12,jun,110,4,-1,0,no
30,admin.,single,secondary,no,1700,yes,no,22,jul,279,3,-1,0,no
33,admin.,married,tertiary,no,882,no,no,21,oct,39,1,151,3,no
28,services,single,secondary,no,159,yes,no,12,may,345,2,-1,0,no
30,technician,single,secondary,no,1692,yes,yes,28,may,141,2,-1,0,no
28,unemployed,single,tertiary,no,1010,yes,no,6,may,911,1,336,2,no
46,management,married,tertiary,no,4301,yes,yes,18,nov,50,1,183,2,no
37,unemployed,married,unknown,no,4565,no,no,4,sep,369,1,-1,0,no
41,services,married,secondary,no,523,yes,yes,4,nov,5,1,-1,0,no
39,blue-collar,divorced,unknown,no,528,yes,no,21,may,111,5,-1,0,no
57,management,married,tertiary,no,9103,no,yes,20,jun,1098,2,-1,0,yes
76,housemaid,married,primary,no,1483,no,no,2,aug,90,4,-1,0,no
38,technician,single,tertiary,no,0,no,no,28,aug,247,2,-1,0,no
34,unknown,married,unknown,no,164,no,no,4,aug,119,2,-1,0,no
43,self-employed,single,primary,no,1337,yes,yes,20,nov,632,2,-1,0,no
39,management,married,tertiary,no,0,no,no,29,aug,94,2,-1,0,no
38,management,single,tertiary,no,83,no,yes,15,jul,32,7,-1,0,no
32,blue-collar,single,secondary,no,1721,yes,no,19,nov,184,2,182,2,no
43,self-employed,married,secondary,no,2940,no,no,29,jan,108,1,-1,0,no
39,technician,single,secondary,no,14,yes,no,7,may,72,1,-1,0,no
34,admin.,single,secondary,no,69,yes,no,6,may,92,3,362,4,no
44,management,married,tertiary,no,58,yes,no,14,jul,72,3,-1,0,no
54,self-employed,married,tertiary,no,542,no,no,6,feb,48,5,-1,0,no
39,admin.,single,secondary,no,0,no,yes,19,jun,142,1,-1,0,no
35,management,single,tertiary,no,4788,yes,no,3,jun,227,1,-1,0,no
51,entrepreneur,married,secondary,no,0,yes,yes,2,jun,184,5,-1,0,no
34,management,married,tertiary,no,160,yes,yes,15,jul,130,1,-1,0,no
32,unemployed,single,secondary,no,0,no,no,27,may,123,2,-1,0,no
55,housemaid,married,primary,no,2152,no,no,19,jun,922,2,-1,0,yes
47,blue-collar,divorced,secondary,no,169,yes,no,8,may,141,2,-1,0,no
31,blue-collar,married,primary,no,-848,yes,no,23,may,559,3,-1,0,no
36,blue-collar,married,secondary,no,-308,yes,no,7,jul,279,11,-1,0,no
40,admin.,single,secondary,no,664,no,no,21,jul,1342,2,-1,0,yes
52,unemployed,married,tertiary,no,0,no,no,6,feb,43,4,-1,0,no
36,blue-collar,divorced,primary,no,0,no,no,14,may,543,2,-1,0,no
29,self-employed,single,tertiary,no,1579,no,no,13,oct,190,1,92,5,yes
45,blue-collar,married,primary,no,692,yes,yes,27,aug,102,4,-1,0,no
32,management,single,tertiary,no,111,yes,no,8,may,162,2,-1,0,no
50,technician,divorced,secondary,no,-556,yes,yes,22,jul,270,2,-1,0,no
36,technician,married,secondary,no,632,yes,no,19,aug,306,2,-1,0,no
40,technician,married,secondary,no,2576,yes,yes,12,may,10,11,-1,0,no
27,management,married,tertiary,no,145,no,no,29,jan,103,1,-1,0,no
32,housemaid,married,primary,no,67,yes,no,16,jul,95,4,-1,0,no
55,technician,divorced,secondary,no,217,yes,yes,26,may,176,1,-1,0,no
43,retired,married,secondary,no,860,no,no,30,oct,132,1,-1,0,yes
39,management,married,tertiary,no,0,yes,yes,16,may,107,2,-1,0,no
35,technician,single,secondary,no,694,no,no,9,feb,29,2,-1,0,no
31,entrepreneur,single,secondary,no,0,yes,no,15,may,56,1,176,1,no
46,self-employed,married,tertiary,no,2303,yes,no,7,may,241,1,-1,0,no
20,blue-collar,single,secondary,no,76,yes,no,18,may,639,2,-1,0,yes
28,admin.,single,tertiary,no,4,no,no,4,jun,148,11,-1,0,no
30,blue-collar,single,tertiary,no,297,no,no,7,apr,465,4,-1,0,yes
50,technician,married,secondary,no,1412,no,no,6,aug,131,3,-1,0,no
82,retired,married,tertiary,no,278,no,no,16,feb,223,7,-1,0,no
21,student,single,secondary,no,57,no,no,4,oct,9,1,-1,0,no
28,technician,married,secondary,no,679,no,yes,3,feb,406,3,-1,0,no
51,blue-collar,married,secondary,yes,0,no,yes,20,jun,179,3,-1,0,no
35,management,single,tertiary,no,3544,yes,no,8,jun,380,1,-1,0,yes
47,technician,married,secondary,no,1167,yes,no,4,aug,505,1,96,6,yes
31,technician,married,secondary,no,0,no,yes,19,aug,144,4,-1,0,no
39,technician,single,tertiary,no,139,no,no,19,aug,328,1,79,1,no
33,housemaid,married,secondary,no,230,no,yes,29,aug,264,2,-1,0,no
42,housemaid,single,secondary,no,284,yes,no,17,apr,134,3,-1,0,no
43,blue-collar,married,secondary,no,167,yes,no,7,may,243,1,-1,0,no
36,entrepreneur,divorced,secondary,no,251,no,no,17,jun,59,6,-1,0,no
27,self-employed,divorced,secondary,no,165,yes,no,6,feb,1160,2,192,4,no
64,retired,married,primary,no,445,no,no,26,oct,338,3,186,1,no
22,services,single,secondary,no,250,yes,no,18,may,117,3,-1,0,no
54,retired,married,primary,no,11,yes,yes,18,aug,48,10,-1,0,no
38,admin.,married,secondary,no,607,yes,no,13,may,315,3,-1,0,no
36,blue-collar,married,primary,no,1861,yes,no,2,jun,281,1,-1,0,no
42,blue-collar,married,primary,no,-336,yes,no,15,may,12,6,-1,0,no
27,technician,single,tertiary,no,28,no,no,28,jan,174,1,-1,0,no
44,technician,divorced,secondary,no,982,yes,no,20,may,650,3,-1,0,yes
42,blue-collar,married,primary,no,2273,yes,no,29,jul,98,2,-1,0,no
37,admin.,married,unknown,no,734,yes,no,21,may,1106,1,-1,0,no
32,admin.,single,secondary,no,154,yes,no,26,apr,135,1,521,2,no
57,blue-collar,married,primary,no,630,yes,no,29,may,52,1,-1,0,no
41,services,married,secondary,no,957,yes,no,15,may,326,4,-1,0,no
32,management,single,tertiary,no,0,no,no,21,nov,9,6,-1,0,no
36,blue-collar,single,primary,no,2176,yes,no,28,may,52,2,-1,0,no
41,blue-collar,married,primary,no,509,yes,no,30,jun,146,3,-1,0,no
43,technician,divorced,secondary,no,177,yes,no,8,may,209,3,-1,0,no
45,technician,divorced,secondary,no,1066,yes,yes,19,nov,124,2,-1,0,no
41,student,single,secondary,no,595,yes,no,18,sep,22,1,107,2,no
32,management,single,tertiary,no,933,yes,no,12,may,147,4,307,1,no
38,management,married,tertiary,no,173,no,no,28,aug,32,8,-1,0,no
45,management,married,tertiary,no,1293,no,no,16,jul,188,3,-1,0,no
31,self-employed,single,tertiary,no,91,no,no,23,may,206,1,-1,0,no
41,technician,divorced,unknown,no,143,no,no,20,jun,141,4,-1,0,no
39,services,single,secondary,no,2453,no,no,19,jun,92,2,-1,0,no
47,management,single,tertiary,no,86,no,no,2,feb,1086,1,-1,0,yes
33,blue-collar,married,secondary,no,249,yes,no,31,jul,61,4,-1,0,no
31,student,single,tertiary,no,4951,no,no,17,sep,285,3,81,3,yes
46,blue-collar,divorced,primary,no,-35,yes,no,13,may,69,1,-1,0,no
35,blue-collar,single,secondary,no,278,no,no,2,feb,60,1,-1,0,no
39,technician,single,secondary,no,1820,no,no,5,jun,231,2,-1,0,no
48,blue-collar,married,secondary,no,0,no,no,19,aug,112,7,-1,0,no
53,management,married,tertiary,no,1624,no,no,5,feb,158,3,-1,0,yes
47,management,married,tertiary,no,1649,yes,no,5,may,217,2,-1,0,no
35,technician,married,secondary,no,451,yes,yes,12,may,247,1,-1,0,no
44,management,divorced,tertiary,no,2237,yes,no,20,jun,125,2,-1,0,no
37,blue-collar,married,secondary,no,223,yes,no,14,jul,144,2,-1,0,no
38,services,married,secondary,no,282,no,no,15,jan,360,3,-1,0,no
27,blue-collar,single,secondary,no,1401,yes,no,28,may,392,1,-1,0,no
32,management,married,tertiary,no,4761,yes,no,5,may,159,2,350,2,no
41,services,married,secondary,no,108,yes,yes,13,may,83,7,-1,0,no
36,blue-collar,married,secondary,no,153,yes,no,8,may,263,1,171,2,no
32,blue-collar,married,secondary,yes,-49,yes,no,25,jul,173,8,-1,0,no
32,blue-collar,married,secondary,no,0,yes,no,28,may,386,3,-1,0,no
37,entrepreneur,married,tertiary,no,1027,yes,no,16,jul,294,2,-1,0,no
45,retired,divorced,secondary,no,1735,no,yes,17,jun,306,1,-1,0,no
33,services,divorced,secondary,no,1117,no,no,2,jun,417,1,-1,0,yes
58,retired,married,tertiary,no,3628,no,no,16,jun,109,2,-1,0,no
23,blue-collar,single,secondary,no,780,yes,no,15,may,416,1,-1,0,yes
60,retired,married,primary,no,3,no,no,18,jun,227,1,-1,0,no
37,housemaid,married,secondary,no,942,no,no,17,jun,79,1,-1,0,no
47,blue-collar,married,secondary,no,4101,yes,no,23,jul,105,1,-1,0,no
36,admin.,single,secondary,no,0,yes,yes,16,may,213,1,-1,0,no
47,blue-collar,married,primary,no,683,yes,no,15,jul,106,12,-1,0,no
41,services,married,secondary,no,803,yes,no,28,may,88,3,-1,0,no
41,entrepreneur,married,secondary,no,707,no,no,18,jun,707,1,-1,0,yes
52,management,married,tertiary,no,2428,yes,no,28,jul,61,3,-1,0,no
53,admin.,divorced,secondary,no,0,yes,yes,6,aug,1452,1,98,2,yes
34,management,single,tertiary,no,0,no,no,26,may,93,1,-1,0,no
47,blue-collar,married,secondary,no,214,yes,no,16,jun,442,3,-1,0,no
36,services,divorced,secondary,no,3,yes,no,18,may,15,8,-1,0,no
31,technician,single,secondary,no,863,yes,no,3,feb,146,1,263,5,no
34,unemployed,married,secondary,no,438,yes,yes,9,apr,272,1,323,1,no
39,management,married,tertiary,no,2939,no,no,29,jun,385,1,165,2,no
48,management,divorced,secondary,no,635,no,no,9,jun,236,2,-1,0,no
29,management,divorced,tertiary,no,607,yes,yes,8,may,240,3,-1,0,no
45,technician,married,secondary,no,144,no,no,13,aug,299,4,-1,0,no
36,student,single,secondary,no,904,no,no,20,jun,10,8,-1,0,no
35,management,single,tertiary,no,-208,yes,no,27,may,127,2,-1,0,no
28,student,single,secondary,no,205,no,no,14,jul,87,3,184,2,yes
45,blue-collar,married,primary,no,456,yes,no,11,may,255,1,-1,0,no
45,blue-collar,married,secondary,no,105,yes,yes,13,may,119,1,-1,0,no
28,unemployed,single,tertiary,no,0,yes,no,5,may,125,2,-1,0,no
31,management,single,tertiary,no,86,no,no,29,jan,100,1,170,4,no
27,management,single,tertiary,no,2420,yes,no,12,may,391,2,-1,0,no
36,self-employed,married,tertiary,no,307,yes,no,14,may,341,1,330,2,no
36,admin.,married,secondary,no,0,no,no,11,jun,378,4,-1,0,no
41,admin.,single,secondary,no,985,yes,no,30,jun,274,2,391,11,yes
29,management,married,tertiary,no,1,yes,yes,16,may,49,1,-1,0,no
42,technician,single,secondary,yes,-1129,yes,no,2,jun,555,5,-1,0,yes
31,technician,single,secondary,no,200,no,no,6,aug,315,2,-1,0,no
35,management,married,tertiary,no,260,no,no,7,aug,358,2,-1,0,no
31,entrepreneur,single,tertiary,no,247,yes,yes,2,jun,273,1,-1,0,no
34,technician,single,tertiary,no,370,yes,no,8,aug,155,2,-1,0,no
27,entrepreneur,single,tertiary,no,512,yes,yes,3,jun,220,1,-1,0,no
50,technician,married,secondary,no,103,yes,no,3,feb,109,4,267,6,no
35,admin.,single,secondary,no,10,no,yes,12,may,357,1,175,4,no
33,management,married,tertiary,no,1782,yes,no,20,nov,437,4,-1,0,no
31,unemployed,married,tertiary,no,3640,no,no,20,nov,120,1,-1,0,no
36,self-employed,single,tertiary,no,3560,no,no,2,jun,409,2,-1,0,no
37,technician,married,tertiary,no,6968,no,no,1,jun,175,1,-1,0,no
37,technician,divorced,secondary,no,-24,yes,no,4,feb,33,2,-1,0,no
44,blue-collar,married,unknown,no,3373,yes,no,20,apr,48,2,342,1,no
41,unemployed,divorced,primary,no,487,no,no,30,apr,157,1,-1,0,no
47,admin.,married,secondary,no,726,no,no,17,jun,60,3,-1,0,no
62,technician,married,unknown,no,4727,yes,no,28,jan,80,4,90,4,no
51,housemaid,married,secondary,no,3984,no,no,20,jun,7,12,-1,0,no
50,technician,married,primary,no,883,yes,no,5,jun,170,1,-1,0,no
41,technician,single,tertiary,no,431,no,no,22,oct,133,1,107,2,yes
35,blue-collar,married,primary,no,442,yes,no,26,may,129,3,-1,0,no
21,student,single,unknown,no,1506,no,no,14,sep,340,1,-1,0,yes
52,admin.,single,secondary,no,-346,yes,yes,19,may,147,3,-1,0,no
49,blue-collar,married,secondary,no,55,no,no,11,jun,112,4,-1,0,no
31,management,married,tertiary,no,199,yes,yes,11,aug,127,2,461,4,no
39,blue-collar,married,secondary,no,4777,yes,no,20,nov,103,1,-1,0,no
73,retired,married,unknown,no,3443,no,no,4,sep,770,3,-1,0,yes
33,admin.,single,tertiary,no,280,no,no,12,nov,189,2,-1,0,no
31,technician,single,secondary,no,373,no,no,22,aug,346,5,-1,0,no
25,blue-collar,divorced,secondary,no,2428,yes,no,28,may,376,4,-1,0,no
20,student,single,secondary,no,162,no,no,25,may,106,2,-1,0,no
55,retired,married,secondary,no,918,yes,no,13,may,87,3,364,1,no
33,entrepreneur,married,primary,no,165,yes,no,23,may,218,1,-1,0,no
30,management,single,tertiary,no,20261,yes,no,28,aug,81,10,-1,0,no
36,management,married,tertiary,no,1,yes,yes,13,apr,84,2,-1,0,no
54,housemaid,married,primary,no,136,no,no,29,jul,92,2,-1,0,no
54,retired,married,secondary,no,1371,no,no,25,jul,1492,2,-1,0,yes
52,admin.,married,secondary,no,722,no,no,26,oct,99,2,185,3,no
49,management,married,tertiary,no,734,yes,no,7,may,42,2,324,3,no
43,blue-collar,married,primary,no,223,yes,no,4,feb,112,2,204,2,no
31,blue-collar,married,primary,no,605,yes,no,15,may,334,10,-1,0,no
28,admin.,single,secondary,no,207,yes,no,13,may,329,1,-1,0,no
58,retired,single,primary,no,6570,no,no,21,jul,106,3,-1,0,no
39,services,married,secondary,no,173,yes,no,18,nov,96,2,182,2,no
86,retired,married,primary,no,1255,no,no,14,oct,192,2,92,4,no
42,blue-collar,married,primary,no,1455,yes,no,2,feb,279,2,269,2,no
38,management,married,tertiary,no,494,no,no,17,nov,146,1,104,2,no
56,retired,married,tertiary,no,5769,no,no,20,jun,15,3,-1,0,no
32,technician,married,secondary,no,767,yes,yes,4,feb,42,1,-1,0,no
40,services,married,secondary,no,-345,yes,no,24,jul,39,2,-1,0,no
51,blue-collar,married,secondary,no,145,no,yes,18,jul,313,1,-1,0,no
43,unemployed,divorced,secondary,no,1854,no,no,13,nov,131,2,197,1,no
34,management,married,tertiary,no,169,no,no,25,aug,115,4,-1,0,no
43,technician,married,tertiary,no,788,no,yes,22,jul,168,3,-1,0,no
34,management,married,tertiary,no,490,yes,no,2,feb,491,1,-1,0,no
