loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,class
24000,24000,24000,60 months,14.99,570.84,C,C4,insurance agent,10+ years,MORTGAGE,150000,Not Verified,Fully Paid,940xx,CA,6.15,1,0,14,37,10,3,19608,63.5,18,w,0,0,26060.46043,26060.46,24000,2031.92,23166.28,0,0,0,629870,0,0,0,33,769,11,1,1,7448,54,30900,0,0,1,credit_card
8950,8950,8950,36 months,14.46,307.9,C,C4,,,MORTGAGE,22416,Verified,Fully Paid,534xx,WI,19.81,0,2,30,,8,0,6411,46.1,22,w,0,0,9831.160003,9831.16,8950,881.16,7382.34,0,0,0,113998,1,0,0,49,2119,26,2,5,737,39,13900,5,4,4,debt_consolidation
18000,18000,17750,36 months,10.49,584.96,B,B2,Office Manager/Bookkeeper,2 years,RENT,60000,Not Verified,Late (31-120 days),762xx,TX,19.38,1,0,8,69,8,1,18982,80,22,f,14472.74,14271.73,4669.19,4604.34,3527.26,1141.93,584.96,0,0,0,37655,0,0,1,23,18673,73,1,4,9856,80,23600,0,0,1,debt_consolidation
35000,35000,35000,36 months,9.75,1125.25,B,B3,CIO project manager,7 years,MORTGAGE,140000,Source Verified,Fully Paid,857xx,AZ,0.43,0,0,44,,9,0,917,1,27,w,0,0,37134.21,37134.21,35000,2134.21,28076.42,0,0,0,194131,1,1,1,2,0,,0,0,649,1,93900,1,0,0,major_purchase
10000,10000,10000,36 months,10.91,326.97,B,B4,,,OWN,70800,Not Verified,Current,064xx,CT,10.53,1,0,11,28,7,1,2563,62.5,12,w,8551.1,8551.1,1949.7,1949.7,1448.9,500.8,326.97,0,0,0,42014,2,1,1,6,14460,,1,1,1022,63,4100,2,0,2,major_purchase
10000,10000,10000,36 months,16.02,351.67,C,C5,warehouse manager,10+ years,OWN,75000,Source Verified,Current,800xx,CO,19.52,0,0,49,81,8,1,9647,73.1,16,f,8880.14,8880.14,1740.55,1740.55,1119.86,620.69,351.67,0,0,0,372522,4,1,1,3,43973,98,3,3,6596,87,13200,1,2,2,other
3600,3600,3600,36 months,11.99,119.56,B,B5,Field technician,2 years,RENT,38000,Verified,Current,800xx,CO,25.81,1,0,22,,8,0,7370,46.6,19,f,3346.72,3346.72,356.28,356.28,253.28,103,119.56,0,0,1418,34066,1,0,0,31,26696,74,2,3,2642,66,15800,0,1,0,debt_consolidation
5000,5000,5000,36 months,11.49,164.86,B,B5,CEO,10+ years,RENT,125000,Source Verified,Current,220xx,VA,17.26,0,0,,109,9,1,11035,56.6,11,f,3389.1,3389.1,2147.47,2147.47,1610.9,536.57,164.86,0,0,0,49824,1,2,3,2,38789,84,0,1,3022,76,19500,1,0,2,small_business
30000,30000,30000,60 months,14.49,705.7,C,C4,VP Strategic Accounts,10+ years,MORTGAGE,172000,Source Verified,Current,936xx,CA,20.36,0,1,,,8,0,769,1.6,17,w,23561.8,23561.8,11815.77,11815.77,6438.2,5377.57,705.7,0,0,0,303162,5,4,4,1,153468,100,1,1,769,11,48100,0,3,1,debt_consolidation
20500,20500,20500,36 months,22.74,790.78,E,E1,Owner,10+ years,RENT,54000,Not Verified,Current,297xx,SC,24,0,1,,,25,0,18748,22.9,42,w,14632.04,14632.04,10228.34,10228.34,5867.96,4360.38,790.78,0,0,0,176853,3,0,0,29,25347,,4,6,4190,23,81800,0,0,1,debt_consolidation
1000,1000,1000,36 months,25.82,40.2,E,E4,Assistant manager,10+ years,MORTGAGE,13000,Source Verified,Current,325xx,FL,12.37,0,0,,,3,0,2448,102,4,f,902.47,902.47,199.57,199.57,97.53,102.04,40.2,0,0,0,36964,0,0,0,83,34516,101,0,1,482,101,2400,0,0,0,other
12925,12925,12925,36 months,14.46,444.64,C,C4,Dispatcher,10+ years,RENT,90000,Verified,Fully Paid,958xx,CA,6.31,0,0,,82,11,1,13462,66.3,20,w,0,0,15035.66592,15035.67,12925,2110.67,50.52,0,0,0,14022,1,0,0,72,560,9,2,3,6206,53,20300,0,3,2,debt_consolidation
8400,8400,8400,36 months,12.88,282.55,C,C2,Customer account specialist,8 years,MORTGAGE,45000,Source Verified,Current,808xx,CO,32.16,2,1,8,,8,0,5636,67.9,18,w,3657.71,3657.71,6229.24,6229.24,4742.29,1486.95,282.55,0,0,0,199050,0,0,0,30,14566,43,2,2,1486,48,8300,1,2,5,debt_consolidation
14000,14000,14000,60 months,12.74,316.69,C,C1,Teacher,10+ years,RENT,85000,Verified,Current,117xx,NY,29.03,0,0,,,12,0,12570,33.7,20,w,11670.53,11670.53,4107.06,4107.06,2329.47,1777.59,316.69,0,0,0,241474,2,2,3,6,228904,69,1,1,4507,46,37300,2,2,7,debt_consolidation
28000,28000,28000,60 months,16.29,685.23,D,D1,Owner,4 years,MORTGAGE,128000,Not Verified,Fully Paid,983xx,WA,14.59,2,1,20,,8,0,25990,71.6,16,w,0,0,31948.28676,31948.29,28000,3948.29,25146.67,0,0,261,409400,2,1,1,10,9512,90,2,2,8545,76,36300,0,0,2,home_improvement
3000,3000,3000,36 months,10.78,97.91,B,B4,Soft Count,< 1 year,RENT,15000,Source Verified,Current,895xx,NV,8.32,0,1,67,,3,0,2903,64.5,11,w,1196.03,1196.03,2247.44,2247.44,1803.97,443.47,97.91,0,0,0,2903,2,0,0,132,0,,2,2,2771,65,4500,0,0,1,credit_card
17000,17000,17000,36 months,10.75,554.55,B,B4,Office Manager,2 years,MORTGAGE,34840,Verified,Fully Paid,342xx,FL,19.19,0,0,,,5,0,10865,84.9,9,w,0,0,19327.51135,19327.51,17000,2327.51,8801.21,0,0,0,137405,0,0,1,16,10677,80,1,2,4865,82,12800,1,0,2,debt_consolidation
6000,6000,6000,36 months,7.07,185.46,A,A2,Server,8 years,MORTGAGE,30000,Not Verified,Current,863xx,AZ,4.6,0,0,,,6,0,214,1.7,13,f,5394.23,5394.23,739.48,739.48,605.77,133.71,185.46,0,0,0,214,0,0,0,38,0,,0,1,93,2,12300,0,0,1,car
5000,5000,5000,36 months,14.46,172.01,C,C4,Tech,3 years,RENT,42000,Source Verified,Late (31-120 days),173xx,PA,3.86,0,0,,,9,0,1671,33.4,17,w,2905.41,2905.41,2916.14,2916.14,2094.59,821.55,172.01,0,0,4193,1671,1,0,0,76,0,,4,7,752,33,5000,0,0,1,moving
16900,16900,16900,36 months,23.99,662.95,E,E2,Clerk,10+ years,MORTGAGE,65000,Source Verified,Fully Paid,666xx,KS,28.19,3,0,3,,12,0,14051,36.3,20,f,0,0,19573.38829,19573.39,16900,2673.39,14989.05,0,0,0,69314,0,1,1,10,29348,65,0,1,9892,52,38700,0,0,0,credit_card
24000,24000,24000,60 months,14.08,559.44,C,C3,Staff Appraiser,10+ years,OWN,60000,Not Verified,Current,778xx,TX,23.88,2,0,9,,13,0,27633,28.3,26,w,22868.93,22868.93,2341.01,2341.01,1131.07,1209.94,559.44,0,0,0,357088,1,0,1,23,6325,42,2,4,10859,30,97500,0,0,3,debt_consolidation
12000,12000,12000,36 months,9.16,382.5,B,B2,Admissions Manager,3 years,MORTGAGE,68000,Source Verified,Current,334xx,FL,30.48,0,0,73,67,12,2,8239,26.2,32,w,5401.45,5401.45,8026.39,8026.39,6598.55,1427.84,382.5,0,0,0,83708,0,2,6,7,75469,93,2,5,3671,60,31500,3,2,0,debt_consolidation
5000,5000,5000,36 months,13.49,169.66,C,C2,lab lead,10+ years,MORTGAGE,48000,Source Verified,Fully Paid,403xx,KY,20.03,0,0,25,117,8,1,2727,39,18,w,0,0,5587.583269,5587.58,5000,587.58,3728.81,0,0,734,36902,0,1,2,8,34175,65,1,2,1090,62,7000,16,0,4,debt_consolidation
25000,25000,25000,60 months,12.62,563.98,C,C1,Director,10+ years,MORTGAGE,175000,Source Verified,Current,850xx,AZ,14.82,0,1,49,,18,0,48623,58.7,28,w,23776.62,23776.62,2238.39,2238.39,1223.38,1015.01,563.98,0,0,0,354885,2,0,0,68,77685,45,2,2,15758,53,82800,1,0,2,home_improvement
8000,8000,8000,36 months,12.62,268.09,C,C1,Electrician Supervisor,< 1 year,MORTGAGE,60000,Verified,Current,870xx,NM,14.06,0,0,81,82,6,1,4510,47.5,10,f,7060.67,7060.67,1329.23,1329.23,939.33,389.9,268.09,0,0,6572,18199,1,2,2,6,13689,62,1,1,2505,58,9500,0,4,1,credit_card
7200,7200,7200,36 months,8.24,226.42,B,B1,House keeper,10+ years,RENT,35000,Source Verified,Current,072xx,NJ,24.66,1,0,21,11,11,1,7850,47.3,27,w,5562.72,5562.72,2034.48,2034.48,1637.28,397.2,226.42,0,0,0,7850,0,0,0,46,0,,0,0,3640,47,16600,0,0,0,debt_consolidation
17500,17500,17500,60 months,16.99,434.83,D,D1,supervisor,10+ years,OWN,65000,Source Verified,Fully Paid,404xx,KY,20.99,0,0,,40,21,1,6667,64.1,55,f,0,0,18490.12,18490.12,17500,990.12,17202.15,0,0,185,44449,0,2,3,9,37782,87,3,7,3463,82,10400,3,2,4,debt_consolidation
15000,15000,15000,36 months,7.49,466.53,A,A4,Librarian,10+ years,MORTGAGE,79000,Verified,Current,057xx,VT,14.31,0,0,,,10,0,19081,93.1,19,w,12340.27,12340.27,3253.23,3253.23,2659.73,593.5,466.53,0,0,0,291118,1,2,3,5,46590,102,0,1,8626,99,20500,1,0,3,debt_consolidation
35000,35000,34725,36 months,10.99,1145.69,B,B4,Insurance Producer,8 years,MORTGAGE,315000,Verified,Current,395xx,MS,9.88,0,1,,,14,0,138952,89,33,f,19896.13,19739.8,19337.82,19185.88,15103.87,4233.95,1145.69,0,0,0,614829,2,1,1,4,50464,79,2,4,9195,89,155650,0,0,1,debt_consolidation
30000,30000,30000,36 months,11.49,989.14,B,B5,,5 years,OWN,90000,Source Verified,Current,107xx,NY,10.28,1,0,18,,10,0,14873,61.6,14,w,22670.82,22670.82,9872.25,9872.25,7329.18,2543.07,989.14,0,0,0,25587,0,0,0,26,6756,68,0,1,4888,68,21400,1,0,0,credit_card
16000,16000,16000,36 months,11.48,527.47,B,B5,Cbpo,8 years,OWN,120000,Verified,Charged Off,143xx,NY,18.8,1,1,11,,6,0,19921,96.7,14,w,0,0,8204.73,8204.73,5152.03,1684.67,527.47,0,0,0,57937,0,1,1,9,38016,62,0,0,5704,76,20600,1,4,1,debt_consolidation
5600,5600,5600,36 months,9.44,179.23,B,B1,Property Inspector (Insurance Adjuster),< 1 year,MORTGAGE,55000,Source Verified,Current,605xx,IL,24.55,0,0,,,16,0,19561,14.7,24,w,5052.88,5052.88,715.45,715.45,547.12,168.33,179.23,0,0,0,296756,0,2,2,7,58475,86,1,2,8929,39,133300,1,0,6,other
10000,10000,10000,36 months,8.99,317.96,B,B1,Owner/Operator,1 year,MORTGAGE,40000,Not Verified,Current,319xx,GA,12.27,0,0,,,8,0,13617,53.2,10,w,5612.6,5612.6,5400.33,5400.33,4387.4,1012.93,317.96,0,0,0,105326,0,0,0,98,0,,1,2,5010,53,25600,0,0,0,debt_consolidation
35000,35000,35000,36 months,23.88,1370.95,E,E2,Business Service Officer,5 years,MORTGAGE,109781,Source Verified,Fully Paid,331xx,FL,18.23,0,0,,,12,0,22296,82.3,18,f,0,0,39333.72883,39333.73,35000,4333.73,32525.41,0,0,0,199255,0,0,2,15,17864,47,0,1,5549,63,27100,1,0,0,debt_consolidation
6400,6400,6400,36 months,5.32,192.74,A,A1,Aviation technician,10+ years,RENT,92000,Source Verified,Current,125xx,NY,14.43,0,0,,,11,0,12425,36.9,47,f,5064.48,5064.48,1551.38,1551.38,1335.52,215.86,192.74,0,0,0,83891,0,1,1,7,71466,82,0,4,8215,55,33700,1,2,2,car
20000,20000,20000,36 months,18.99,733.02,D,D3,Payroll Accountant,1 year,MORTGAGE,69475,Verified,Current,980xx,WA,11.88,0,2,,,8,0,22307,65.4,12,f,16477.32,16477.32,5727.01,5727.01,3522.68,2204.33,733.02,0,0,0,433694,1,0,0,29,6765,70,2,4,5059,66,34100,0,1,3,debt_consolidation
2400,2400,2400,36 months,15.05,83.26,C,C4,graphics design,5 years,MORTGAGE,60000,Source Verified,Current,773xx,TX,3.28,1,1,9,,5,0,841,56.1,10,w,2238.51,2238.51,245.77,245.77,161.49,84.28,83.26,0,0,0,162396,1,1,1,4,3730,93,0,2,340,83,1500,1,0,1,other
24000,24000,24000,36 months,11.99,797.03,C,C1,Technician,10+ years,MORTGAGE,133618,Not Verified,Fully Paid,488xx,MI,20.46,1,0,18,,13,0,24303,88.7,34,w,0,0,27424.61477,27424.61,24000,3424.61,13907.07,0,0,0,212043,0,1,1,8,95618,113,0,0,7144,99,27400,0,1,10,major_purchase
24000,24000,24000,60 months,18.99,622.45,D,D3,Officer,10+ years,MORTGAGE,65000,Verified,Current,232xx,VA,26.98,0,0,45,,13,0,75972,66.4,22,w,20230.35,20230.35,8848.49,8848.49,3769.65,5078.84,622.45,0,0,0,229121,0,0,0,46,6108,32,0,1,6406,55,88800,0,0,0,debt_consolidation
16000,16000,16000,60 months,14.99,380.56,C,C4,CFO,< 1 year,RENT,260000,Source Verified,Current,341xx,FL,17.62,2,1,4,,20,0,53197,92.5,38,w,14088.04,14088.04,3792.28,3792.28,1911.96,1880.32,380.56,0,0,0,355617,1,0,3,20,302420,74,1,1,19883,78,57500,0,6,1,debt_consolidation
12000,12000,12000,36 months,9.16,382.5,B,B2,Cafeteria manager,4 years,RENT,36000,Verified,Current,242xx,VA,46.02,0,0,,,11,0,26619,42.5,19,w,5740.13,5740.13,7637.79,7637.79,6259.87,1377.92,382.5,0,0,0,55091,1,0,1,22,28472,,1,1,7402,43,62600,1,0,1,debt_consolidation
11500,11500,11500,36 months,7.21,356.2,A,A3,Financial Systems Analyst,3 years,OWN,124000,Not Verified,Current,068xx,CT,25.88,0,0,,,9,0,38624,77.2,17,w,10341.19,10341.19,1415.59,1415.59,1158.81,256.78,356.2,0,0,0,450461,0,0,2,18,41433,55,0,0,31557,64,50000,0,0,1,debt_consolidation
20000,20000,20000,36 months,8.39,630.34,B,B1,Executive Director,10+ years,OWN,78000,Source Verified,In Grace Period,907xx,CA,24.48,0,0,,,14,0,81754,59.4,21,w,5096.39,5096.39,16367.35,16367.35,14903.61,1463.74,630.34,0,0,0,81754,0,0,0,,0,,1,1,24311,59,137600,0,0,0,credit_card
13150,13150,13150,36 months,20,488.71,D,D4,Industrial painter,5 years,MORTGAGE,130000,Source Verified,Current,936xx,CA,7.58,0,2,24,,10,0,5355,29.3,17,w,11166.19,11166.19,3406.36,3406.36,1983.81,1422.55,488.71,0,0,0,248525,2,1,2,6,30315,86,2,2,0,66,18292,0,1,2,debt_consolidation
10000,10000,10000,36 months,8.39,315.17,B,B1,Owner,10+ years,MORTGAGE,90000,Source Verified,Charged Off,301xx,GA,4.39,2,0,6,,9,0,10192,25.8,28,w,0,0,1857.99,1857.99,740.92,199.93,315.17,0,0,0,136873,1,0,0,112,0,,3,5,7931,26,39500,0,0,1,credit_card
15000,15000,14750,36 months,7.99,469.98,A,A4,VP/ML 4,10+ years,OWN,104000,Source Verified,Current,403xx,KY,20.27,0,2,,,17,0,36395,39.6,38,f,9182.06,9029.02,7043.04,6925.66,5817.94,1225.1,469.98,0,0,0,339490,1,1,3,3,52439,89,1,3,13802,59,91800,1,0,4,debt_consolidation
24600,24600,24600,36 months,13.49,834.69,C,C2,Project Manager,3 years,RENT,70000,Verified,Current,113xx,NY,17.9,2,0,6,,7,0,19541,79.8,21,w,14875.76,14875.76,13336.6,13336.6,9724.24,3612.36,834.69,0,0,0,393795,0,0,0,33,1079,6,0,0,6069,47,24500,0,0,0,debt_consolidation
15000,15000,15000,36 months,13.49,508.96,C,C2,Tech Support Technician,1 year,RENT,48000,Not Verified,Current,054xx,VT,23.43,0,5,,,13,0,11688,80,16,w,10653.76,10653.76,6096.28,6096.28,4346.24,1750.04,508.96,0,0,0,55044,3,1,1,2,43356,97,2,4,6633,80,14550,0,0,3,credit_card
2200,2200,2200,36 months,12.99,74.12,C,C2,Director,2 years,RENT,72000,Source Verified,Fully Paid,770xx,TX,16.94,0,4,43,,17,0,2107,6.1,40,f,0,0,2482.11204,2482.11,2200,282.11,1521.73,0,0,65,104375,3,1,1,1,102268,79,3,11,1806,40,34400,1,2,6,credit_card
10000,10000,10000,36 months,12.62,335.12,C,C1,Radiology Tech,1 year,MORTGAGE,33208,Source Verified,Current,407xx,KY,22.44,0,2,,,7,0,5279,27.9,8,w,9537.67,9537.67,656.22,656.22,462.33,193.89,335.12,0,0,0,52463,2,1,1,2,47184,,2,3,2948,28,18900,2,0,8,debt_consolidation
21000,21000,21000,36 months,14.46,722.44,C,C4,Senior,3 years,OWN,76000,Verified,Current,750xx,TX,19.17,0,0,38,,12,0,23487,47.5,15,w,9255.61,9255.61,15859.94,15859.94,11744.39,4115.55,722.44,0,0,0,32682,0,0,1,13,9195,73,1,2,17430,53,50400,0,0,1,debt_consolidation
3000,3000,3000,36 months,12.74,100.71,C,C1,Safety Engineer,10+ years,RENT,95000,Source Verified,Current,334xx,FL,12.43,0,0,,,19,0,17408,40.8,31,w,2428.21,2428.21,803.56,803.56,571.79,231.77,100.71,0,0,0,30428,1,1,1,9,13020,30,1,3,6753,35,42700,0,1,1,other
10000,10000,10000,36 months,20,371.64,D,D4,Pressman,10+ years,MORTGAGE,68000,Not Verified,Current,641xx,MO,28.55,0,1,,,10,0,25602,71.5,22,w,8940.4,8940.4,1847.09,1847.09,1059.6,787.49,371.64,0,0,0,242958,1,2,4,1,29853,71,1,3,8318,71,35800,1,0,3,home_improvement
12000,12000,12000,60 months,11.99,266.88,C,C1,Corrections officer,3 years,OWN,70000,Not Verified,Current,139xx,NY,23.13,2,1,16,,20,0,11455,61.6,51,w,8941.45,8941.45,5062.73,5062.73,3058.55,2004.18,266.88,0,0,0,208071,0,1,3,9,76144,83,1,3,4567,76,18600,1,4,2,debt_consolidation
15000,15000,15000,36 months,6.49,459.67,A,A2,maintain mech,2 years,MORTGAGE,80000,Not Verified,Fully Paid,060xx,CT,16.71,0,0,,,15,0,24418,37,19,w,0,0,16120.44267,16120.44,15000,1120.44,8771.13,0,0,668,270957,1,1,1,9,33928,90,3,4,6656,37,66880,0,0,2,debt_consolidation
30000,30000,30000,36 months,17.99,1084.43,D,D2,Warehouse Manager,4 years,RENT,85000,Verified,Current,906xx,CA,16.05,0,0,73,66,5,1,7769,94.7,10,f,17820.84,17820.84,18451.36,18451.36,12179.16,6272.2,1084.43,0,0,126,42228,0,1,2,10,34459,84,1,2,4938,86,8200,1,0,4,debt_consolidation
10000,10000,10000,36 months,7.99,313.32,A,A5,Engineering Tech,10+ years,MORTGAGE,62000,Source Verified,Current,310xx,GA,20.33,5,0,4,,14,0,8433,74.6,34,w,8238.47,8238.47,2188.8,2188.8,1761.53,427.27,313.32,0,0,0,72148,1,1,3,4,16033,50,0,0,2075,56,11300,0,5,1,debt_consolidation
12000,12000,12000,36 months,8.24,377.37,B,B1,Quality Engineer,10+ years,MORTGAGE,84000,Not Verified,Current,480xx,MI,23.1,3,1,5,,13,0,8562,17,30,w,8325.3,8325.3,4547.09,4547.09,3674.7,872.39,377.37,0,0,0,242332,0,2,3,10,69074,82,1,1,2456,17,50900,0,0,3,debt_consolidation
14000,14000,14000,36 months,8.24,440.27,B,B1,Courtroom Assistant,10+ years,MORTGAGE,65000,Verified,Fully Paid,922xx,CA,23.47,1,2,7,,19,0,22251,43,38,f,0,0,14404.2854,14404.29,14000,404.29,13089.89,0,0,0,264550,4,1,2,10,37084,86,5,10,6264,43,51900,0,0,3,debt_consolidation
30000,30000,30000,36 months,10.75,978.62,B,B4,Registered nurse,4 years,MORTGAGE,115000,Source Verified,Charged Off,321xx,FL,9.08,0,0,,,25,0,14073,65.5,43,w,0,0,13757.11,13757.11,10538.14,3218.97,978.62,0,0,147,402209,2,2,3,8,86024,98,4,9,2256,92,21500,0,1,5,debt_consolidation
4000,4000,4000,36 months,5.32,120.46,A,A1,,,MORTGAGE,65000,Not Verified,Current,801xx,CO,19.13,0,0,,,16,0,4292,3.8,34,w,2736.77,2736.77,1442.56,1442.56,1263.23,179.33,120.46,0,0,0,28510,0,0,1,17,24218,54,1,2,3334,18,113000,0,2,1,debt_consolidation
8000,8000,8000,36 months,11.99,265.68,B,B5,Branch Banker III,6 years,MORTGAGE,36500,Verified,Current,175xx,PA,22.23,0,0,,,6,0,2933,62.4,10,w,7053.09,7053.09,1353.56,1353.56,946.91,406.65,265.68,0,0,376,148015,0,1,1,11,24047,74,1,1,1353,73,4700,2,1,6,debt_consolidation
20000,20000,20000,36 months,8.24,628.95,B,B1,owner operator,2 years,OWN,100000,Source Verified,Current,300xx,GA,5.92,1,0,12,,10,0,17328,37,12,w,13872.62,13872.62,7538.24,7538.24,6127.38,1410.86,628.95,0,0,0,17328,0,0,0,,0,,1,4,9359,37,50700,2,1,3,debt_consolidation
4800,4800,4800,36 months,10.75,156.58,B,B4,Bus operator,10+ years,MORTGAGE,85000,Verified,Current,109xx,NY,26.44,2,0,1,,13,0,66062,31.2,30,w,2051.55,2051.55,3441.89,3441.89,2748.45,693.44,156.58,0,2,0,399222,0,1,2,10,58697,75,0,1,1173,66,79500,1,4,5,credit_card
8000,8000,8000,36 months,12.62,268.09,C,C1,welder,< 1 year,MORTGAGE,50000,Not Verified,Current,432xx,OH,22.54,0,1,,67,8,1,4079,54.4,12,f,6670.96,6670.96,1871.02,1871.02,1329.04,541.98,268.09,0,0,775,103694,0,0,3,14,37073,74,1,2,3471,72,7500,3,1,2,debt_consolidation
9600,9600,9600,36 months,5.32,289.11,A,A1,Health Program Specialist I,10+ years,MORTGAGE,62680,Not Verified,Current,922xx,CA,10.93,0,0,26,,11,0,17152,40.1,28,w,4455.69,4455.69,5776.53,5776.53,5144.31,632.22,289.11,0,0,0,162865,0,0,0,101,0,,0,3,3823,40,42800,1,1,1,debt_consolidation
21000,21000,21000,60 months,13.49,483.1,C,C2,Sr. Testing Specialist,5 years,RENT,108000,Verified,Current,221xx,VA,25.3,0,0,26,,9,0,8002,52.6,51,w,18945.06,18945.06,3902.18,3902.18,2054.94,1847.24,483.1,0,0,0,189041,1,2,2,8,181039,74,2,2,6451,68,15200,0,0,1,debt_consolidation
12600,12600,12600,60 months,19.03,327.06,D,D3,Clerical and Bus Driver,1 year,MORTGAGE,40000,Source Verified,Current,744xx,OK,30.3,0,1,41,,6,0,5054,62.4,29,w,12078.78,12078.78,1334.89,1334.89,521.22,813.67,327.06,0,0,0,100818,0,1,2,11,27497,73,0,0,4002,72,8100,1,0,4,debt_consolidation
