Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,class
88317,3,GoldCoast,21.4,29.1,0,,,SSE,46,S,SSE,17,35,71,65,1018.9,1016.7,,,26.6,27.7,No,0.2,No
10199,7,CoffsHarbour,5.6,18.8,0.2,2.2,,WSW,41,WSW,SW,24,20,44,31,1015.4,1014.5,0,1,14.3,18.3,No,0,No
99978,1,Nuriootpa,10.5,28.9,0,8,12.9,SE,41,ENE,ESE,19,7,35,13,1018,1014.5,4,5,16.8,26.4,No,0,No
67905,9,Melbourne,10,20.1,0,3.4,7.9,N,54,N,N,19,28,66,43,1009.7,1005.7,5,7,15.3,19.4,No,5.8,Yes
69997,3,Mildura,10,21.6,0,4.8,6.9,SSW,35,SSE,SSE,13,19,60,35,1019.1,1019.6,7,3,11.4,19.7,No,0,No
113501,1,PearceRAAF,12,30.6,0,,13.2,SW,41,SE,SW,17,28,39,29,1018.1,1014.9,,,22,28.1,No,0,No
18691,12,NorahHead,17,23.7,0.4,,,ESE,22,SSW,ESE,13,17,86,75,1015.1,1013.5,,,19.4,21.8,No,0,No
127091,8,Hobart,5.9,14.1,3.2,1,3,WNW,54,NNE,NW,20,30,66,38,998.7,997.9,5,7,9.7,14,Yes,0.4,No
123644,11,SalmonGums,7.1,28.4,0,,,SE,44,ENE,SSE,13,15,43,22,,,,,20.1,27.2,No,0,No
132401,2,Launceston,14.3,23.9,0,,,NW,44,NNW,NNW,17,15,78,28,,,,,18.1,22.4,No,0,No
56496,12,Ballarat,9.7,20.8,0,,,SW,37,S,SW,19,15,70,44,1010.8,1012.4,3,4,13.3,19.5,No,0,No
115907,5,PerthAirport,4.1,21.9,0,3.2,9.3,ENE,33,ENE,NNE,20,11,56,24,1034,1030.5,0,1,12.1,21,No,0,No
70019,4,Mildura,11.6,22.8,0,3.8,10.8,SSE,28,SSE,S,17,13,76,41,1021.6,1019.2,1,2,15.3,22,No,0,No
59319,5,Bendigo,12.5,15.6,14.4,,,W,56,WNW,W,22,30,79,53,1009.8,1012.6,8,8,12.5,15.1,Yes,0.4,No
124566,1,Walpole,18.1,35.1,0,,,NNW,46,N,WSW,17,28,43,48,996.3,995.1,,,27.6,26.9,No,0.2,No
84571,9,Brisbane,16.2,23.3,7.2,3.4,2.9,NE,28,NE,N,6,7,79,87,1020,1016.2,6,7,21.4,19.7,Yes,14,Yes
34111,7,SydneyAirport,7.8,13.9,2.8,3,6.3,SSW,54,WSW,SSW,24,33,62,63,1025.8,1023,6,6,10.3,13.5,Yes,0,No
15269,5,Newcastle,9.7,20.5,5.8,,,,,,SE,0,4,96,64,,,7,6,12.5,19.4,Yes,0.4,No
131844,8,Launceston,4.2,14.2,0,,,NNW,35,NNW,NNW,4,17,98,80,,,8,8,9.2,12.9,No,5.4,Yes
6048,4,Cobar,13.3,24.1,0,5.2,11.2,SE,31,E,S,13,15,52,23,1019.6,1016.1,0,1,18,23.5,No,0,No
127940,1,Hobart,11.8,22.3,0.2,6,12.7,SE,41,SSW,SE,7,26,50,57,1018.2,1017.9,,,18.4,19,No,0,No
138243,2,Darwin,23.5,33.4,0,6.4,11.7,WNW,39,W,WNW,15,30,71,57,1010.9,1008.3,6,2,30.1,33.1,No,0,No
32069,5,Sydney,10.2,19,24.4,5.6,8.6,SSW,44,W,S,26,22,69,50,1029.1,1028.1,3,3,11.8,17.9,Yes,0.2,No
108816,12,Albany,14.8,19,4.2,,,,,S,,19,,63,,1013.6,1012.3,8,,17.6,,Yes,0,No
21347,12,NorfolkIsland,22.6,25.3,0.8,4,0,NNE,22,NE,NE,9,13,95,74,1013.7,1012.6,7,7,23.4,23.6,No,5.2,Yes
117766,8,Perth,9.5,18.7,1.2,2,9,SSW,41,SSE,SW,7,20,81,54,1014,1013.3,3,4,14.7,16.8,Yes,0.2,No
128743,5,Hobart,3.6,13.4,0,0.8,8,NW,31,NW,NNW,20,11,86,57,1030,1028.2,7,2,5.4,13.1,No,0,No
58270,6,Bendigo,2.9,13.3,0,1.4,,SSE,46,SSE,SSE,13,24,75,52,1019.7,1020,,,8.8,13,No,0.2,No
61380,9,Sale,8,26.1,0,3.4,2.3,WNW,80,NNW,NNW,22,31,27,25,1006.2,1001.1,7,7,23.5,24.4,No,4,Yes
116975,6,PerthAirport,7.6,20.4,0,2.4,9.2,ENE,30,NE,WNW,9,17,64,35,1027.7,1024.2,0,1,12.1,19.9,No,0,No
53603,4,MountGinini,2.8,9.9,0,,,SW,48,SW,SW,24,20,76,71,,,,,7,8.4,No,0,No
44116,10,Wollongong,8.7,18.4,0,,,SW,37,SSW,SSE,20,22,45,51,1019.7,1016.2,,,14.3,17.1,No,0,No
70563,10,Mildura,15,31.2,0,5.6,10.5,WNW,46,NW,WNW,15,24,62,21,1019.6,1016,3,1,20.4,30.5,No,0,No
51891,5,MountGinini,-4.4,5.2,,,,S,44,,SSE,,7,,61,,,,,,3.7,,0.4,No
101537,7,Nuriootpa,0.8,13.1,0.2,1,8.9,NNE,20,NE,NNE,9,11,72,52,1030.2,1028,0,4,6.8,12.6,No,0,No
121127,8,SalmonGums,5.2,20.4,0,,,NNW,39,NW,NNW,17,20,74,32,,,,,13.1,20,No,0,No
8013,12,Cobar,24.3,41.1,0,13,,S,50,NE,WNW,20,15,38,8,1008.6,1004.5,1,2,29.4,39.4,No,0,No
31969,2,Sydney,21,28.8,0,8,10,ESE,37,SE,ESE,4,26,62,61,1021.8,1021,1,5,26.1,27.6,No,6.8,Yes
23028,11,NorfolkIsland,14.2,20,1.4,1.8,6.7,SE,35,SE,SE,20,20,58,62,1018.1,1016.9,5,7,18.4,18.6,Yes,0,No
59200,1,Bendigo,24.8,37.3,0,,,W,50,SE,WSW,9,22,24,11,1011.7,1009.4,3,1,28,35.7,No,0,No
48902,3,Tuggeranong,12.9,16.5,0.8,,,E,30,ESE,S,9,7,78,98,1019.4,1016.9,,,14.3,14.5,No,87.6,Yes
6888,9,Cobar,4.8,17.2,0,4.8,,SW,54,SW,SW,17,20,69,48,1020.2,1018.1,2,7,10.7,13.9,No,1.2,Yes
40477,8,Williamtown,11.6,17.5,,,,SW,52,SW,SSW,28,30,83,74,1022.2,1020.4,8,8,14.2,16.9,,6.8,Yes
3015,1,BadgerysCreek,15.5,38.8,0,,,SW,50,NNE,W,7,17,67,19,1013.2,1007.6,,,22.7,37.6,No,0,No
95940,9,Adelaide,6.1,17.5,0,3.2,,SW,30,NNE,WSW,9,15,54,49,1028.1,1026,,,13.9,17.2,No,0,No
136647,6,Darwin,20.8,32.6,0,7.4,9.6,ESE,50,SE,ESE,17,19,45,34,1013,1010.4,1,3,25,31.5,No,0,No
41139,10,Williamtown,9.9,18.9,26,1.4,,ESE,28,WSW,ESE,13,15,76,55,1025.4,1023.2,,,14.1,18.5,Yes,0.2,No
2314,7,Albury,6.5,13.6,5.8,,,NW,35,NNW,NNW,17,24,82,55,1019,1017.1,8,1,9.2,12.8,Yes,3,Yes
129222,9,Hobart,8,13.8,0,2.6,9.7,SSE,26,N,SE,13,17,69,65,1036.9,1034.9,6,2,11,13.3,No,0.2,No
70370,4,Mildura,11.8,33.1,0,8,7,SSW,41,NNE,NNW,11,17,36,16,1018.5,1015,4,7,19.3,31.3,No,0,No
117031,8,PerthAirport,11.6,18.6,24.6,4.4,8.9,W,56,S,WSW,13,31,81,44,1013.1,1013.3,6,3,14.7,18.3,Yes,3.6,Yes
138154,11,Darwin,24.9,33.7,0,6.8,11.4,NNW,33,NE,NW,11,19,59,51,1013.5,1009,2,1,30.8,33.4,No,0,No
15254,5,Newcastle,,,0,,,,,,,,,,,,,,,,,No,0,No
102783,12,Nuriootpa,13.7,35.8,0,9.9,13.8,WNW,33,N,W,15,22,17,7,1017.2,1013.6,0,,28.2,34.7,No,0,No
99039,11,MountGambier,11.7,30.1,1,6.6,11.2,NW,61,NNE,WNW,26,35,59,37,1006.7,1004.6,6,5,17.9,27.1,No,0,No
18464,3,NorahHead,17.2,27.4,0,,,WNW,41,NW,WNW,13,11,52,44,1006.3,1004,,,22.1,25.4,No,0,No
133575,10,AliceSprings,5.2,20.3,0,5.6,12,ESE,39,ESE,ESE,22,20,49,28,1019.8,1015.6,1,0,14.2,19.9,No,0,No
61409,10,Sale,10.9,18.6,6.6,3.2,9.9,SW,41,SW,S,24,22,58,57,1016.4,1016.5,3,5,13.4,17.5,Yes,0,No
116505,3,PerthAirport,19.9,37.7,0,10.8,9.8,E,59,ENE,SSW,26,13,39,20,1017.7,1013.1,7,7,26.5,36.9,No,0.2,No
22409,2,NorfolkIsland,19.3,23.3,0,8,5.9,ESE,46,SE,SE,24,24,46,72,1014.4,1012.7,4,7,21.6,22.3,No,0,No
56511,12,Ballarat,8.6,17.2,0,,,WSW,54,WSW,WSW,28,33,72,39,1008.2,1012.4,1,4,13.8,15.7,No,0,No
73959,5,Portland,9.5,12.7,4.8,3.8,0,SE,52,SSE,SE,19,28,75,71,1017.3,1015.3,4,8,11.1,11.7,Yes,19.2,Yes
11284,11,CoffsHarbour,20.1,28.3,7.2,,,NE,46,NNE,NE,17,31,81,66,1010.9,1006.4,,,23.3,25.6,Yes,0,No
62874,5,MelbourneAirport,3.2,21.3,0.2,1,6.3,NNE,30,NNE,N,6,20,88,39,1022.8,1019.5,7,7,7.8,20.1,No,0,No
83451,8,Brisbane,6.4,23.6,0,6.6,10.3,WSW,28,,WSW,0,11,58,27,1018.9,1015.3,0,0,16,23.1,No,0,No
78072,8,Watsonia,5.9,12.6,0,1.4,0.1,N,33,N,N,7,13,82,68,1021.9,1017.8,7,7,9.3,12.3,No,0.2,No
5087,2,BadgerysCreek,15.7,27.3,0,,,SE,31,S,SE,4,19,73,57,1009.7,1008.5,,,20.2,24.7,No,0.8,No
135010,12,AliceSprings,21,35.4,0,7.8,12.1,E,37,E,ESE,13,15,46,23,1014.1,1011.2,6,7,28.8,33.6,No,0,No
15206,3,Newcastle,14.4,27.8,0,,,,,,SE,0,7,87,58,,,1,1,18,26.5,No,0,No
41376,12,Wollongong,15.6,18.5,15,,,E,33,E,E,13,20,93,72,1014.9,1015.9,8,8,16.5,17.9,Yes,3.4,Yes
82244,1,Brisbane,21.8,29.3,0,4.8,3.3,ENE,24,E,ENE,11,11,81,64,1015.5,1013.1,8,7,24.7,28.3,No,0.6,No
4360,11,BadgerysCreek,14.9,29,0,,,NE,31,NNE,NNE,7,11,69,47,1018.7,1013.5,,,19.7,27.9,No,0,No
106103,4,Albany,14.3,18,0,4,7,,,W,WSW,2,13,63,59,1022.3,1019.7,8,5,15.3,17.2,No,0,No
126804,11,Hobart,12.2,18.6,9.2,4.2,9.5,WSW,91,NW,W,35,26,49,45,984.6,991.6,6,7,16.2,16.6,Yes,0.4,No
9333,2,CoffsHarbour,20.5,31.8,0,7.2,9.3,NNE,54,N,NNE,19,43,65,63,1013,1009.4,1,1,26.2,28,No,0,No
97189,8,MountGambier,7.1,15.2,4.2,1.6,5.9,NW,43,NNW,WNW,15,22,95,80,1024.6,1023.4,4,7,10.4,12.9,Yes,3,Yes
30751,8,Sydney,7.3,18.5,0,,6.7,W,33,W,S,15,13,58,47,1008.5,1008.2,,,11.5,16.9,No,13,Yes
44174,12,Wollongong,17.5,23.1,0.2,,,E,24,SW,ESE,2,15,78,72,1019.8,1018.8,8,8,19.4,21.2,No,0,No
118784,7,Perth,8.9,19.9,0,2.2,7.9,NE,20,ENE,NNE,7,6,77,52,1019.2,1017.6,1,6,12.7,19.3,No,0,No
67349,8,Melbourne,8.3,14.1,,1.2,5.7,W,39,WNW,WNW,17,22,72,71,1013.5,1012.6,,,9.4,12.5,,17,Yes
138007,6,Darwin,21,29.1,0,7.2,8.9,SE,50,SE,SE,31,24,35,24,1015.4,1012.2,7,3,22.1,28.4,No,0,No
41093,8,Williamtown,4,20,0,12.2,,SE,30,NW,SE,17,20,62,51,1027.7,1024.7,2,8,11.7,18,No,0,No
61523,2,Sale,12,20.7,10.2,5.2,10.5,W,76,WNW,W,35,50,50,35,1006,1008.5,1,5,15.5,19.3,Yes,0,No
40173,7,Williamtown,9.2,18.8,1,4.4,,WSW,15,NW,NNW,7,7,96,73,1025.7,1023,7,7,12.6,18.1,No,0,No
38805,6,WaggaWagga,4.2,13.5,0,,,ESE,19,E,SE,13,13,86,63,1026.6,1024,8,7,6.8,13.2,No,0,No
31335,5,Sydney,9.2,20.6,0.2,2.8,9.8,W,46,W,WNW,15,28,59,34,1013.2,1009.6,1,3,13.6,20.1,No,0,No
43002,9,Wollongong,15.7,29.1,0,,,WNW,89,E,W,19,31,60,20,1001.1,1005.7,,,22,23.4,No,0,No
22202,8,NorfolkIsland,16.4,18.1,1.8,2.6,2.6,W,61,WSW,W,31,39,90,81,1004.1,1004,7,7,17.5,17.9,Yes,1.8,Yes
84889,1,Cairns,25.4,32.7,0.4,5.4,8,ENE,28,S,S,13,19,81,76,1009.3,1006.6,7,7,27.8,28.5,No,0.8,No
23118,2,NorfolkIsland,21,25.3,73.8,,3.6,NNE,61,NNE,W,30,26,97,77,1003.9,1001.3,8,1,22.1,24.8,Yes,21,Yes
112103,6,PearceRAAF,12.2,19.1,,,7.3,WNW,59,NNW,WNW,13,39,81,82,1005.2,1003.1,8,8,14.4,16,,32.8,Yes
8454,2,Cobar,27.5,36.7,0,15,,SSE,35,S,S,19,15,35,18,1014.3,1012.4,1,1,28,35.6,No,0,No
5510,4,BadgerysCreek,15.3,31,0,,,ENE,28,,NNE,0,15,100,43,1020.2,1013.7,,,18.4,30.7,No,0,No
54309,8,Ballarat,3.3,11.2,0.4,,,NNW,19,,WNW,0,7,99,60,1030.3,1027.8,8,7,6.5,11.1,No,0,No
133582,10,AliceSprings,15.9,31.2,0,9.4,11.7,E,41,E,E,31,17,48,32,1018.2,1012.9,0,2,22.3,30.2,No,0,No
72014,6,Nhil,6.4,18.6,0,,,N,26,ENE,NNE,13,11,99,51,1028.9,1025.6,,,8.2,17.2,No,0,No
117943,2,Perth,20.7,29.6,0,11.8,10.9,SW,44,S,SSW,17,24,58,47,1012.3,1010.7,5,1,21.7,27.9,No,0,No
139191,5,Katherine,22.6,35.1,0,5,,E,33,ESE,E,17,19,74,,1014.4,1010.4,2,,27.6,,No,0,No
10844,7,CoffsHarbour,10.9,18.7,0.6,,,,,,,,,90,64,,,,,13.4,18.2,No,0.2,No
90811,6,GoldCoast,16.3,20.6,17.8,,,SE,72,S,SSE,37,52,100,100,1023.3,1022.7,,,18.1,20,Yes,15.6,Yes
15109,12,Newcastle,21.2,28.8,0.2,,,,,,SE,0,19,37,33,,,6,5,23.5,24,No,0,No
36979,3,WaggaWagga,18.4,23.1,10.8,6.4,0.3,WSW,54,ENE,WNW,15,22,93,83,1010.7,1010.4,7,8,19.6,20.5,Yes,9.8,Yes
58461,12,Bendigo,14.5,23,5.4,4.9,,SW,44,WSW,WSW,15,24,87,45,1011,1011.5,8,6,15.3,22.3,Yes,0,No
8250,8,Cobar,6.2,12,0,4,,SW,30,SW,SW,11,13,84,55,1025.6,1022.6,7,7,8.3,11.2,No,0,No
95378,11,Adelaide,20.3,36.5,0,9.4,,N,57,NNE,NW,20,28,9,8,1013.2,1009.5,,,27.1,34.3,No,0,No
320,10,Albury,5.1,22.7,0,,,NE,19,WSW,NW,4,6,78,38,1026.6,1023.7,,,12.2,22,No,0,No
27883,11,Richmond,16.6,30.5,0.6,,,ESE,31,NE,E,9,22,66,45,1011.8,1010,,,23.1,28.3,No,3.8,Yes
73708,9,Portland,9.2,16.7,2.6,1.6,8.5,NW,59,NNW,WNW,26,37,81,64,1021.5,1017.3,6,4,12.1,15.8,Yes,0.2,No
22115,5,NorfolkIsland,16.1,20.9,0.2,6.6,9.1,SW,44,SW,SSE,20,13,56,66,1021,1020.5,5,5,19.4,18.6,No,0.2,No
62532,12,Sale,12.7,20.4,0,,,E,35,SE,E,9,24,62,58,1016.8,1015.3,8,,16,19.3,No,0,No
58273,6,Bendigo,1.7,14.3,0,1.1,,SSE,39,SSE,SSE,13,22,88,61,1017.9,1018,1,1,8.4,13.2,No,0,No
780,1,Albury,14.5,32,0,,,NW,35,ENE,NNW,7,9,59,32,1018.9,1017.2,,,21.5,30.2,No,0,No
3160,5,BadgerysCreek,8,17.8,0,,,S,41,SSW,SW,22,15,70,74,1028.6,1028.3,,,13.5,14.3,No,11.4,Yes
38266,11,WaggaWagga,9.6,27.3,0,7,13.5,WNW,33,NE,NW,17,24,55,31,1017.5,1012.9,1,3,20,25.8,No,0,No
15402,9,Newcastle,7.2,19,0,,,,,,SE,0,6,55,42,,,3,1,14.5,17.7,No,0,No
33576,1,SydneyAirport,23.6,27.4,0,10.6,1.9,NE,48,NE,NE,28,33,74,79,1015,1013.9,7,7,25.1,24.7,No,0,No
134847,7,AliceSprings,4.8,18.3,0,6.4,10.5,SSW,30,WSW,S,9,17,42,20,1019,1016.4,0,0,10.8,16.9,No,0,No
89332,4,GoldCoast,19.8,27.5,24.2,,,SSE,39,S,SE,28,31,75,65,1014.4,1012.2,,,23,25.6,Yes,0,No
22650,10,NorfolkIsland,15,20.6,0,5.8,12.2,SSE,33,SSE,SE,19,15,65,62,1021.1,1020,2,1,18.2,19.2,No,0,No
76622,6,Watsonia,6.9,11.8,12.6,4.2,6.2,WSW,78,W,WNW,13,9,76,95,1000,1002.8,4,7,8,7.9,Yes,5.4,Yes
67922,10,Melbourne,7.5,15.1,1.4,4.4,7.7,WNW,33,W,S,13,13,63,64,1016.6,1017,1,5,10.5,12.5,Yes,0,No
93361,2,Townsville,24.6,31.2,0,9.4,6.8,E,41,SE,ENE,15,28,60,66,1009.6,1006.7,1,7,29,29,No,0,No
88488,9,GoldCoast,13.3,23,0.4,,,W,31,SSE,SE,20,24,41,46,1017.3,1016.7,,,21,21.5,No,0,No
38500,7,WaggaWagga,-1,10.7,0,1.2,,WSW,30,,WSW,0,17,93,68,1032.9,1030.4,,8,2.9,9.6,No,0,No
125205,5,Walpole,14.6,18.5,24.4,,,SSW,35,SSE,ESE,15,13,87,93,1019,1020.4,,,16.5,16.7,Yes,2.6,Yes
43776,11,Wollongong,17.3,25.1,0,,,NE,28,ESE,NNE,6,15,75,78,1014.8,1010.4,5,,21.9,23.5,No,0,No
17287,5,Newcastle,10.9,25.1,0,,,,,,,0,,68,,,,2,,19,,No,0,No
26624,3,Richmond,15.2,29.9,0,3.9,,E,28,SSW,SE,2,9,91,45,1017.8,1015.3,,,20.1,29,No,0,No
19249,8,NorahHead,5.9,17,,,,WSW,30,W,SSW,9,17,52,46,1016.5,1013.4,,,11.7,16.1,,0,No
54667,9,Ballarat,9.4,18,0.6,,,NE,67,NNE,NNE,30,35,94,62,1015.8,1010.5,8,,9.6,17.1,No,0,No
45356,8,Canberra,3.1,10.7,6.6,1.4,3.5,S,57,NW,WNW,22,13,80,72,1016.6,1014.9,3,7,4.7,8.4,Yes,0,No
46293,6,Canberra,-3,13.2,0.6,4.8,,NW,24,NNW,NW,6,11,68,46,1023.6,1021,1,,5.7,12.3,No,0,No
16461,1,Newcastle,20.8,30.8,0,,,,,SE,NE,9,15,79,53,,,7,3,23.8,30.5,No,0,No
133362,3,AliceSprings,17.3,31.6,0,8.4,11.4,E,31,ENE,S,11,11,44,28,1017.7,1013.7,0,1,25.6,30.9,No,0,No
101982,9,Nuriootpa,6.1,19.9,0,,,W,81,W,WSW,48,44,37,70,1013.7,1015.1,,,18.6,15.8,No,0,No
12222,12,Moree,23.6,39.5,0.2,19.6,10.2,WSW,41,SW,WSW,9,20,27,10,1008.9,1005.6,0,0,28,38.3,No,0,No
71890,2,Nhil,8.4,30.7,0,,,SSE,37,SSE,SW,17,13,68,24,1023.8,1021.2,,,13.7,26.8,No,0,No
46865,12,Canberra,11.2,29.7,0,,,WSW,63,N,,9,,70,,1008.6,,,,19.6,,No,0,No
10069,3,CoffsHarbour,17.3,25,6.2,6.2,5.2,SSE,57,SW,SSE,30,35,71,88,1018.2,1016.2,3,6,21,22.4,Yes,11.2,Yes
20657,2,NorfolkIsland,23.7,25.4,0.6,4.8,0.1,NNW,56,N,N,20,22,90,94,1014.2,1012.5,7,8,24.8,24.1,No,20.6,Yes
99107,1,MountGambier,9.9,24.8,0,6.8,13.8,S,52,SE,SSE,26,31,66,46,1021.6,1018.7,2,1,17.4,22.9,No,0,No
97233,9,MountGambier,3.3,14.2,2.4,2.4,6.5,W,33,N,WNW,15,17,71,47,1023.5,1021.2,1,6,10.8,13.4,Yes,0.2,No
113608,4,PearceRAAF,5.9,27.1,0,,9.2,E,35,SSW,SSW,7,15,61,27,1018.2,1013.1,6,6,15.2,26.2,No,0,No
120523,6,Perth,10.9,19.8,0,1.8,4.5,SE,28,SSE,SSE,9,9,94,59,1022.9,1020.7,8,7,12.4,18.4,No,0.2,No
63539,3,MelbourneAirport,10.5,26,0,4.4,9.9,SSE,35,NNW,S,6,17,87,50,1020.4,1017.2,4,4,14.1,25.8,No,0.2,No
46014,6,Canberra,3.8,12,0.8,0.4,5.2,WNW,46,N,WNW,19,26,86,52,1013.3,1012.8,2,3,6.5,9.3,No,0,No
12745,6,Moree,11,15.4,19.4,2.6,1,SSW,28,ENE,E,13,4,95,81,1015.3,1014.7,8,7,12,14.8,Yes,0.6,No
43164,3,Wollongong,18.5,26,0,,,NE,28,NNE,NNE,2,13,78,81,1020,1018.6,,,23,23,No,0,No
121912,12,SalmonGums,17.4,25.3,0,,,SSW,46,S,S,24,30,68,67,,,,,20.5,20.5,No,0,No
128898,11,Hobart,5.5,15.1,1.4,3.2,7.5,ESE,35,NNW,ESE,17,24,59,69,1023.8,1022.6,7,2,10.3,12.5,Yes,0,No
95770,3,Adelaide,14.2,32.6,0,4,10.9,W,30,NNE,W,7,19,52,24,1021.4,1017.8,,,19.8,31.9,No,0,No
103155,6,Woomera,6.9,16.5,0.6,1.6,7.9,W,22,WNW,SW,2,13,97,61,1010.1,1008.6,8,5,9.4,16,No,0,No
108698,8,Albany,9.1,16,3,1.8,,,,NW,,11,,78,,1016.7,1013.5,7,,11.6,,Yes,0.2,No
135982,8,Darwin,22.1,32.4,0,6.6,10.8,NE,33,E,NNW,6,24,72,55,1014.4,1010,3,2,27,30.9,No,0,No
86508,9,Cairns,18.7,27.5,7.8,6.8,6.7,ESE,37,S,ESE,22,26,85,52,1019.7,1014.5,7,1,20.6,26.3,Yes,0,No
122302,3,SalmonGums,16.1,25.8,4,,,NE,35,ENE,NE,20,15,90,64,,,,,16.4,24.9,Yes,0,No
129835,5,Hobart,7.9,9,2.4,1.6,0.8,SW,44,WSW,SW,13,20,74,62,1012,1017.8,8,7,8.6,8.4,Yes,2.6,Yes
45726,9,Canberra,-3.4,14.8,0,4,9,NW,52,NW,NW,28,30,58,40,1025.3,1022.1,1,,9.6,13.2,No,0,No
6371,3,Cobar,12.8,23.2,0,7.6,11.6,S,33,S,SSW,11,17,64,31,1023.4,1022.4,0,1,16,21.5,No,0,No
127237,1,Hobart,14,23.1,0,5,11.5,SE,35,ESE,SE,9,22,76,53,1019.5,1016.2,6,1,16.7,22.1,No,0,No
126524,1,Walpole,8.2,23.4,0,,,S,31,N,SSE,9,17,54,57,1020.4,1018.7,,,17.7,20.4,No,0,No
105214,5,Woomera,9.2,19.9,0,,,NE,33,E,NE,7,11,59,31,1027.5,1025.8,1,,12.1,19.6,No,0,No
106170,6,Albany,9.4,13.2,12,3.6,7.3,,,N,SW,48,31,55,67,1013.1,1015.5,6,7,12.1,11.5,Yes,2.6,Yes
132237,9,Launceston,6.4,17.5,5.8,,,SSW,28,NNW,SSW,4,15,94,46,,,4,8,9.1,16.4,Yes,0.1,No
3977,11,BadgerysCreek,13.4,18.3,4.4,,,SE,26,SSE,ESE,6,9,100,80,1013.2,1013.8,,,13.9,15.7,Yes,5.6,Yes
66736,3,Melbourne,14.6,20.3,0,2.4,2.7,SSE,28,WSW,SW,6,6,78,55,1027,1025.6,,,15.1,18.7,No,0,No
14053,7,Moree,4.9,15.5,0,1.8,6.6,W,37,W,SW,9,24,84,51,1019.6,1017.3,7,8,8.5,14.2,No,0,No
122691,4,SalmonGums,11.9,30.9,0,,,N,35,N,E,20,7,47,24,,,,,21.4,30,No,0,No
34156,9,SydneyAirport,7.1,17.2,2,3,11.3,SW,39,SW,ESE,20,20,43,36,1019.6,1017.1,1,1,13.3,16.2,Yes,0,No
90001,2,GoldCoast,20.8,30.2,0,,,SSE,54,SSE,SSE,20,41,62,60,1019.6,1019,,,27.5,28.4,No,8,Yes
121091,7,SalmonGums,6.9,13.5,2,,,SSW,41,WSW,SW,13,11,86,87,,,,,9.2,10.2,Yes,0.4,No
7483,6,Cobar,10.8,14.5,4,0.4,,WSW,15,ESE,WSW,6,7,95,82,1021.4,1020.1,8,8,12.1,14.2,Yes,0,No
31088,7,Sydney,12.9,22.9,0.2,0.4,6.3,N,39,NW,N,15,26,74,62,1011.6,1008,5,6,17.2,21.3,No,0,No
60466,1,Sale,18.8,24.7,0,9.4,7.6,WSW,48,W,SW,30,13,63,56,1009.9,1010.4,4,7,20.4,22.1,No,0,No
52295,9,MountGinini,-1.5,5.6,0,,,WSW,65,WSW,WSW,17,19,90,71,,,,,2.5,2.9,No,0,No
110117,4,Witchcliffe,18.5,24.2,1.4,,,NW,61,NW,WNW,20,22,,,1014.1,1013,,,21,23.4,Yes,2.8,Yes
87307,11,Cairns,20.5,31.1,0,11,11.2,SE,50,SE,ESE,26,35,51,51,1014.8,1011.1,3,2,27.8,29.3,No,0,No
